Transaction_ID,Customer_Age,Gender,Annual_Income,Credit_Score,Purchase_Category,BNPL_Provider,Purchase_Amount,Device_Type,Connection_Type,Checkout_Time_Seconds,Browser,Repayment_Status
705eef54-52b2-4912-b562-d9f7b4184a6d,56,Male,32293,353,Beauty,Sezzle,249,Tablet,WiFi,82,Firefox,Paid On Time
7dbe58a0-0177-4572-8f3a-566d907e9c56,46,Male,72774,354,Groceries,Affirm,188,Mobile,WiFi,60,Firefox,Paid On Time
b77e4be3-bf88-4bb0-addb-45d84e6a3f65,32,Male,82207,630,Travel,Sezzle,1610,Desktop,WiFi,86,Chrome,Paid On Time
5c3c24a8-675e-46fd-8312-4ac37cbb97c5,60,Male,92498,470,Fashion,Sezzle,120,Mobile,4G/5G,169,Chrome,Paid On Time
4bb92076-f15e-4cfc-8aac-58395d69aedc,25,Male,32060,502,Travel,Klarna,1849,Mobile,4G/5G,38,Chrome,Defaulted
5f0de2d3-9a81-4e1a-a364-a4e210bee8a0,38,Female,94833,779,Travel,Klarna,1112,Mobile,4G/5G,82,Safari,Paid On Time
162ad289-2605-45bb-97e6-76648f40571f,56,Female,89772,403,Travel,Klarna,418,Desktop,WiFi,169,Safari,Paid On Time
25e1d830-4663-4504-9271-2b05497c33d7,36,Male,82341,731,Travel,Klarna,2117,Desktop,WiFi,14,Firefox,Paid On Time
61400a2d-9769-4536-b966-e5921a4a935f,40,Female,80517,669,Home & Furniture,Sezzle,286,Desktop,4G/5G,164,Chrome,Late Payment
514aa903-141c-4c1e-841d-f9aca51bdd13,28,Female,108929,359,Beauty,Klarna,244,Tablet,4G/5G,5,Safari,Late Payment
556d71ac-104e-4a07-bb02-c79f9300ab40,28,Non-Binary,99953,638,Electronics,Affirm,489,Mobile,4G/5G,167,Firefox,Paid On Time
ddadbfd2-23e2-4a9e-9fc0-b97720f83925,41,Male,45213,663,Electronics,Afterpay,1084,Mobile,WiFi,160,Firefox,Paid On Time
7a243936-6189-4230-a5e9-68fbb167f0f1,53,Female,63974,516,Beauty,Afterpay,36,Mobile,WiFi,72,Firefox,Defaulted
b9b900d7-550b-45cb-aa14-461c1c3ee2d7,57,Male,57412,626,Fashion,Affirm,224,Mobile,WiFi,146,Safari,Paid On Time
c7dedf93-a73d-4d84-915a-a2acb2499c13,41,Female,83989,443,Travel,Afterpay,352,Mobile,WiFi,130,Firefox,Paid On Time
a26e382d-d84c-47ce-91eb-495e2861cd09,20,Male,91119,710,Electronics,Sezzle,447,Mobile,WiFi,151,Firefox,Paid On Time
5aeb88b4-c8ae-4d44-98e3-c228acfa4f05,39,Male,20461,844,Fashion,Afterpay,175,Desktop,4G/5G,54,Safari,Paid On Time
684cfeda-ee3d-4598-8174-2c3e9fcc80f4,19,Female,80365,405,Fashion,Sezzle,96,Mobile,WiFi,105,Edge,Late Payment
0c7dd42f-532f-4e56-b4df-00c5b42640cc,41,Female,58976,506,Fashion,Afterpay,261,Desktop,4G/5G,118,Edge,Paid On Time
385359e3-590a-4284-abbf-875bb5fcf4da,61,Female,58199,560,Beauty,Sezzle,41,Desktop,4G/5G,20,Edge,Paid On Time
504328c5-4e5d-40dd-825b-49fed84521be,47,Male,40384,734,Home & Furniture,Affirm,193,Desktop,4G/5G,62,Safari,Late Payment
bfdd0993-9b6c-489c-9f40-f542f3e9fefa,55,Male,105191,626,Beauty,Klarna,123,Desktop,WiFi,68,Edge,Paid On Time
c4c2294b-764a-4cb3-a854-80753de128b3,19,Female,70522,441,Groceries,Sezzle,222,Mobile,4G/5G,74,Safari,Late Payment
81bce556-c47a-4786-8456-2404e1113a6e,38,Female,51481,587,Electronics,Klarna,1923,Mobile,WiFi,165,Firefox,Paid On Time
f8bb6af2-972e-41ef-9b36-19c2d89641b3,50,Female,55193,718,Home & Furniture,Affirm,262,Mobile,WiFi,106,Edge,Paid On Time
dbd6bbf6-eafa-42b3-9acf-ed139acd4907,29,Female,89011,567,Travel,Klarna,739,Mobile,4G/5G,92,Chrome,Paid On Time
134b63ac-5e68-4382-88fe-5aabd3e372b0,39,Male,106070,335,Beauty,Afterpay,152,Mobile,4G/5G,96,Edge,Paid On Time
3f32f948-9747-4998-9d5c-70c670cd705d,61,Male,114239,407,Travel,Affirm,2378,Mobile,4G/5G,108,Safari,Paid On Time
